notice_id,errors,flags,got_no_persons,got_nothing,labels,might_have_unparsed_persons,officers
20,2,,1,,,1,
40,,1,,,,,2
109,,2,,,,,1
208,,,1,1,,,
311,,,,,,,1
405,,3,,,,,1
415,,,,,,,2
467,,1,1,,,1,
473,,,,,,,1
494,,4,,,,,1
506,,,,,,,1
512,,,1,1,,,
547,,1,,,,,2
556,,,,,,,2
564,,,,,,,1
641,,,,,,1,2
679,,2,,,,,1
689,,2,,,,,3
711,,2,,,,,1
805,,3,,,,,1
883,,,1,1,,,
953,,1,,,,,2
961,,4,,,,,1
1050,,3,,,,,1
1107,,3,,,,,1
1111,,2,,,,,1
1140,,,1,1,,,
1265,,,1,1,,,
1355,,,,,,,1
1356,,1,,,,,2
1384,,3,,,,,3
1395,,,,,,,2
1440,,1,,,,,2
1538,,3,,,,,1
1574,,,1,1,,,
1639,,,,,,,2
1703,,,1,1,,,
1716,,2,,,,,2
1859,,1,,,,,1
1876,,,1,1,,,
1908,,2,,,,,2
2030,,,,,,,2
2114,,1,,,,,1
2119,,1,,,,,1
2147,,,1,1,,,
2180,,,1,1,,,
2181,,1,,,,,1
2214,,2,,,,,1
2215,,,1,1,,,
2224,,1,,,,,1
2254,,4,,,,,1
2322,,1,,,,,2
2423,,,1,1,,,
2494,,,,,,,2
2513,,1,,,,,4
2521,,,1,1,,,
2539,,,,,,,1
2596,2,,,,,1,2
2720,,,1,1,,,
2739,,,,,,,1
2778,,1,1,,,,
2788,,4,,,,,2
2821,,3,,,,,1
2874,,,1,1,,,
2907,,2,1,,,1,
2984,,,1,1,,,
3015,,,1,1,,,
3092,,1,,,,,1
3105,,,1,1,,,
3141,,,1,1,,,
3155,,4,,,,,2
3220,,2,,,,,1
3243,,,1,1,,,
3263,,,1,1,,,
3275,,4,,,,,1
3326,,,1,1,,,
3409,,4,,,,,1
3416,,1,,,,,1
3529,,,,,,,2
3534,,,1,1,,,
3551,,,,,,,1
3600,,,,,,,3
3690,,,,,,,2
3757,,4,,,,,1
3760,1,3,1,,,1,
3766,,,,,,,3
3780,,3,,,,,1
3790,,4,,,,,1
3811,,,,,,1,1
3880,,,,,,,1
4036,,,1,1,,,
4130,,4,,,,,1
4204,,,1,1,,,
4252,,,1,1,,,
4285,,1,,,,,1
4396,,,,,,,1
4430,,1,,,,,2
4444,,2,,,,,2
4483,,,1,1,,,
4570,,2,,,,1,1
4601,,,,,,,2
4649,,3,,,,,1
4678,1,3,1,,,1,
4711,,1,,,,,2
4731,,3,,,,,3
4749,,,1,1,,,
4758,,1,,,,,2
4824,2,,,,,,1
4894,,,,,,,2
4966,,1,,,,,1
5017,,5,,,,,1
5048,,,1,1,,,
5228,,,1,1,,,
5248,,4,,,,,1
5350,1,4,1,,,1,
5370,,4,,,,1,3
5443,,3,,,,,1
5471,,1,,,,,2
5585,,3,,,,,1
5655,,4,,,,,1
5690,,1,1,,,1,
5713,,1,,,,,3
5755,,1,,,,1,4
5767,,1,,,,,3
5780,,1,,,,1,2
5803,,,1,1,,,
5819,,4,,,,1,2
5844,,,,,,,1
5870,,1,,,,,1
5951,,1,,,,1,1
5996,,2,,,,,2
6038,,1,,,,,1
6078,,,,,,,1
6099,,4,,,,,2
6132,,4,,,,,1
6167,,3,,,,,1
6169,,,,,,,1
6174,,2,,,,,2
6179,,8,,,,,2
6207,,4,,,,1,2
6237,,1,,,,1,1
6255,,4,,,,1,1
6289,,,1,1,,,
6339,,3,,,,1,2
6403,,2,,,,,2
6474,,4,,,,,2
6477,,,,,,1,1
6480,,2,,,,,1
6486,,4,,,,1,1
6489,,,1,1,,,
6567,,,,,,1,1
6570,,5,,,,,1
6693,,4,,,,1,1
6842,,,1,1,,,
6945,,1,,,,,1
6955,,,1,1,,,
6984,,,1,1,,,
7008,,,,,,1,3
7091,,,1,1,,,
7249,,,,,,,1
7337,,,1,1,,,
7348,,,1,1,,,
7504,,1,1,,,1,
7564,,2,,,,,1
7568,,3,,,,,1
7629,,1,,,,,2
7665,,,,,,,2
7719,,,,,,,3
7742,,1,,,,,1
7803,,2,,,,,2
7815,,,1,1,,,
7848,,3,,,,,1
7873,,,,,,,2
7881,,,,,,1,2
7914,,,1,1,,,
7929,,,,,,,1
7962,,,,,,1,1
8012,,,,,,,1
8092,,,,,,,1
8132,,,1,1,,,
8162,,4,,,,1,1
8178,,,1,1,,,
8214,,,1,1,,,
8232,,,,,,,2
8273,,,1,1,,,
8323,,,,,,,1
8338,,8,,,,,2
8580,,4,,,,1,1
8599,,,1,1,,,
8625,,,,,,,2
8667,,,,,,,2
8719,,,1,1,,,
8778,,,,,,,2
8780,,,,,,,2
8791,,4,,,,,1
8825,,2,,,,,1
8847,,3,1,1,,1,1
8876,,,,,,,1
8879,,,1,1,,,
8971,1,,1,,,1,
9030,,1,,,,,1
9116,,2,,,,,2
9121,,,,,,,2
9140,,,1,1,,,
9256,,,,,,,2
9294,,,,,,,1
9367,,,,,,,2
9377,,4,,,,1,2
9467,,2,,,,,1
9531,,1,1,,,,
9555,,,1,1,,,
9561,,,1,1,,,
9575,,,1,1,,,
9624,,3,,,,,1
9739,,4,,,1,,1
9740,,3,,,,,1
9823,,,1,1,,,
9855,,,,,,,1
9925,,2,,,,,1
9950,,,,,,,1
9955,,,,,,,1
9962,,,1,1,,,
10050,,,,,,,1
10060,,,1,1,,,
10162,,,,,,,2
10170,,,,,,,2
10225,,3,,,,,1
10317,,,,,,,1
10387,,,1,1,,,
10488,,,,,,,1
10493,,1,,,,1,1
10519,,3,,,,1,2
10540,,1,,,,,1
10717,,,1,1,,,
10864,,4,,,,,2
10886,,,1,1,,,
10897,,,,,,,2
10985,,3,,,,1,2
11046,,,,,,,1
11087,,1,,,,,1
11142,,2,,,,,3
11260,,,1,1,,,
11324,,1,,,,,2
11367,,1,,,,,1
11376,,,,,,,2
11389,,,,,,,2
11399,,2,,,,,1
11493,,,,,,,1
11585,,,,,,1,1
11600,,1,1,,,1,
11625,,2,,,,,1
11669,,,1,1,,,
11724,,4,,,,,1
11747,,,1,1,,,
11781,,2,,,,1,2
11889,,3,,,,,1
11894,,,,,,,3
11903,,1,,,,,1
11946,,,1,1,,,
12055,,3,,,,,1
12088,,,1,1,,,
12123,,2,,,,,2
12151,2,,1,,,1,
12186,,,,,,,1
12262,,,,,,,1
12302,,,,,,,2
12337,,4,,,,,2
12341,,2,,,,,1
12343,,,1,1,,,
12386,,3,,,,1,1
12393,,1,,,,,2
12447,,1,,,,,3
12458,,2,,,,,1
12572,,6,,,,,3
12573,,,1,1,,,
12618,,,,,1,,2
12742,,,1,1,,,
12756,,,1,1,,,
12769,,,1,1,,,
12943,,1,,,,,1
12945,,2,,,1,1,1
12960,,1,,,,,2
13102,,1,,,,,2
13110,,,,,,1,1
13141,,,,,,,1
13164,,1,,,,,1
13189,,2,,,,1,1
13190,,,,,,,2
13197,,1,1,,,1,
13210,,3,,,,,2
13214,,,,,,,2
13239,,,,,1,,1
13265,,2,,,,,1
13314,,1,,,,,2
13403,,3,,,,,2
13418,,3,,,,,1
13426,,3,,,,,1
13463,,,1,1,,,
13489,,3,,,,,1
13500,,,,,,,1
13546,,1,,,,,1
13607,,1,,,,,1
13678,,,1,1,,,
13688,,1,,,,1,2
13710,,3,,,,,1
13769,,,,,,,1
13774,1,1,,,1,,1
13776,,,1,1,,,
13800,,2,,,,,1
13804,1,4,,,,,1
13817,,1,,,,,1
13827,,,,,,,2
13837,,,,,,,1
13848,,,,,,,1
13876,,,1,1,,,
