+-----------+-----------+--------+-------+----------------+-------------+--------+-----------------------------+---------+----------+
| notice_id | addresses | errors | flags | got_no_persons | got_nothing | labels | might_have_unparsed_persons | notices | officers |
|    4649   |           |        |   3   |                |             |        |                             |         |    1     |
|    4678   |           |   1    |   3   |       1        |             |        |              1              |         |          |
|    4711   |           |   1    |   1   |                |             |        |                             |         |    2     |
|    4731   |           |   2    |   3   |                |             |        |                             |         |    3     |
|    4749   |           |        |       |       1        |             |        |                             |    1    |          |
|    4758   |           |        |   2   |                |             |        |                             |    1    |    2     |
|    4824   |           |   2    |       |                |             |        |                             |         |    1     |
|    4894   |           |        |       |                |             |        |                             |         |    2     |
|    4966   |           |        |   1   |                |             |        |                             |         |    1     |
|    5017   |           |   1    |   5   |                |             |        |                             |         |    1     |
|    5048   |           |        |       |       1        |             |        |                             |    1    |          |
|    5228   |           |        |       |       1        |      1      |        |                             |         |          |
|    5248   |           |   1    |   4   |                |             |        |                             |         |    1     |
|    5350   |           |   1    |   4   |       1        |             |        |              1              |         |          |
|    5370   |           |   1    |   4   |                |             |        |                             |         |    4     |
|    5443   |           |        |   3   |                |             |        |                             |         |    1     |
|    5471   |           |        |   1   |                |             |        |                             |         |    2     |
|    5585   |           |        |   3   |                |             |        |                             |         |    1     |
|    5655   |           |   1    |   4   |                |             |        |                             |         |    1     |
|    5690   |           |        |   1   |                |             |        |                             |         |    2     |
|    5713   |           |        |   1   |                |             |        |                             |         |    9     |
|    5755   |           |        |   1   |                |             |        |                             |         |    6     |
|    5767   |           |   1    |   1   |                |             |        |                             |         |    3     |
|    5780   |           |        |   1   |                |             |        |                             |    1    |    3     |
|    5803   |           |        |       |       1        |      1      |        |                             |         |          |
|    5819   |           |   3    |   4   |                |             |        |                             |         |    3     |
|    5844   |           |        |       |                |             |        |                             |         |    1     |
|    5870   |           |   1    |   1   |                |             |        |                             |         |    1     |
|    5951   |           |        |   1   |                |             |        |              1              |         |    1     |
|    5996   |           |   2    |   2   |                |             |        |                             |         |    2     |
|    6038   |           |        |   1   |                |             |        |                             |         |    1     |
|    6078   |           |        |       |                |             |        |                             |         |    1     |
|    6099   |           |   1    |   5   |                |             |        |                             |         |    2     |
|    6132   |           |   1    |   4   |                |             |        |                             |         |    1     |
|    6167   |           |        |   3   |                |             |        |                             |         |    1     |
|    6169   |           |        |       |                |             |        |                             |         |    1     |
|    6174   |           |        |   2   |                |             |        |                             |         |    2     |
|    6179   |           |   2    |   8   |                |             |        |                             |         |    2     |
|    6207   |           |   1    |   4   |                |             |        |                             |    1    |    4     |
|    6237   |           |        |   1   |                |             |        |              1              |         |    1     |
|    6255   |           |   1    |   4   |                |             |        |                             |         |    2     |
|    6289   |           |        |       |       1        |      1      |        |                             |         |          |
|    6339   |           |        |   3   |                |             |        |                             |         |    3     |
|    6403   |           |   2    |   2   |                |             |        |                             |         |    2     |
|    6474   |           |   4    |   4   |                |             |        |                             |    1    |    2     |
|    6477   |           |        |   1   |                |             |        |                             |         |    2     |
|    6480   |           |   2    |   2   |                |             |        |                             |    1    |    1     |
|    6486   |           |        |   4   |                |             |        |                             |         |    2     |
|    6489   |           |        |       |       1        |             |        |                             |    1    |          |
|    6567   |           |        |       |                |             |        |              1              |         |    1     |
|    6570   |           |   1    |   5   |                |             |        |                             |         |    1     |
|    6693   |           |   1    |   4   |                |             |        |                             |         |    2     |
|    6842   |           |        |       |       1        |      1      |        |                             |         |          |
|    6945   |           |        |   1   |                |             |        |                             |    1    |    1     |
|    6955   |           |        |       |       1        |      1      |        |                             |         |          |
|    6984   |           |        |       |                |             |        |                             |         |    1     |
|    7008   |           |   2    |       |                |             |        |                             |         |    4     |
|    7091   |           |        |       |       1        |             |        |                             |    1    |          |
|    7249   |           |        |       |                |             |        |                             |         |    1     |
|    7337   |           |        |       |       1        |      1      |        |                             |         |          |
|    7348   |           |        |       |       1        |      1      |        |                             |         |          |
